culture,line,transfer,Tsample,colony,range.perc.spore,perc.spore,range.veg.ml,veg.ml,range.spore.ml,spore.ml,range.cell.ml,cell.ml,range.growth.rate,growth.rate,range.Max.OD,Max.OD,range.lag.time,lag.time,host,phage,seed.bank,flask
WLCt,L1,D14,T24H,C1,0.36944538121368,82.66411508426887,8919010.267772079,293649123.9041357,6437904.993329525,1399903814.0842385,15356915.261101484,1693552937.9883745,0.0036850000000000008,0.041765,0.032335,0.783335,2.849999999999998,20.85,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T24H,C10,0.12112517397312672,88.55592105774275,1823685.8423495889,172773221.03491268,1867046.4571461678,1336944374.5255897,43360.61479640007,1509717595.5605025,0.001460000000000003,0.03333,0.014330000000000065,0.716,1.1999999999999993,18.2,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T24H,C11,0.435519743147907,93.11265985755719,5061183.990103349,94243163.8359836,18155820.72626996,1274938429.4219222,13094636.736166477,1369181593.257906,0.001400000000000002,0.02966,0.12283499999999992,0.773835,2.6999999999999993,14.8,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T24H,C12,2.7486479908116195,88.1690415648273,31717917.964055717,119173931.2118305,4294345.070191145,879765262.0646023,36012263.03424692,998939193.2764328,0.002820000000000003,0.0353,0.011664999999999925,0.687335,1,17.3,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T24H,C13,2.4583212608688996,82.48097824343779,19139332.72575757,205946577.92716336,75967492.70690131,977587522.1619822,56828159.98114371,1183534100.0891457,0.001919999999999998,0.04888,0.02483000000000002,0.7135,1.4499999999999993,18.35,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T24H,C14,0.7830282814187086,88.21314783708416,24536780.355194688,224653330.47174478,57377731.67440677,1675870350.1670256,81914512.02960157,1900523680.63877,0.0010850000000000026,0.037794999999999995,0.09599999999999997,0.83533,2.799999999999997,21.1,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T24H,C15,0.2162370763877277,86.04537374599073,1181566.0013664067,101418172.38973889,3976882.408526063,625396110.6622868,2795316.407159686,726814283.0520257,4.4500000000000095e-4,0.027615,0.033335000000000004,0.726665,1.7999999999999998,6.3999999999999995,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T24H,C2,5.279262806533026,83.82258880679049,48911012.71194485,144013922.57709742,35668418.623610616,741880670.5649393,13242594.088334322,885894593.1420367,1.250000000000001e-4,0.035025,0.00550000000000006,0.6964999999999999,0.75,26.75,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T24H,C3,3.9850842961564723,84.88220385937396,37039201.51107371,140342831.1568029,36722704.09139335,787902377.4126275,316497.4196804762,928245208.5694304,1.1499999999999705e-4,0.033125,0.07383499999999998,0.742835,0.6499999999999986,23.75,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T24H,C4,0.7003601553042103,90.95964695601477,12191799.6723672,101537816.31921618,35945012.35659814,1017895071.8096302,48136812.02896547,1119432888.1288462,1.2000000000000205e-4,0.03735,0.024499999999999966,0.65083,1,23.1,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T24H,C5,5.666032021567986,84.29746360830165,66658053.787506044,234637442.81952667,198503243.56639504,1307201577.9279003,131845189.77888894,1541839020.747427,0.0011099999999999999,0.03547,0.08000000000000007,0.76633,0.04999999999999716,24.35,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T24H,C6,0.527457739626854,66.40415807824465,1149989.9728394896,126928566.29043016,8206985.661160469,251028683.12864846,9356975.633999944,377957249.41907865,0.001295000000000001,0.030025,0.08850000000000002,0.51783,0.8000000000000007,24.4,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T24H,C7,2.359036937985124,85.11993815000673,21576066.07423833,151318030.76414326,38213281.305438876,868237601.4469378,16637215.231200576,1019555632.211081,8.95e-4,0.028865000000000002,0.027000000000000024,0.78233,1.8000000000000007,11.899999999999999,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T24H,C8,0.10359088920313297,86.85123116954111,3859893.6050511077,32901451.481465377,23525995.43613702,217107370.5449273,27385889.04118815,250008822.02639267,0.001340000000000001,0.03252,0.014000000000000012,0.68233,4.149999999999999,28.950000000000003,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T24H,C9,1.6387465274398068,76.42630048484452,11329710.664325207,209490900.0226977,25111741.270353317,680130825.2398188,13782030.60602808,889621725.2625165,4.249999999999983e-4,0.028905,0.008499999999999952,0.67083,0.3999999999999986,17.1,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T48H,C1,2.8532635700526896,90.10731119830182,19913836.6734095,60824106.38295307,6226477.417114973,546475440.0727165,26140314.090524435,607299546.4556696,0.0036850000000000008,0.041765,0.032335,0.783335,2.849999999999998,20.85,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T48H,C10,0.4880401658979707,85.71976931987483,241274.34036179632,21852058.99297154,3785553.635211438,131292220.3018781,3544279.294849634,153144279.29484963,0.001460000000000003,0.03333,0.014330000000000065,0.716,1.1999999999999993,18.2,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T48H,C11,2.1728631780667627,73.82586587587326,6683781.393009193,41930448.05967586,5638015.262492791,117244681.92915946,12321796.655501962,159175129.98883533,0.001400000000000002,0.02966,0.12283499999999992,0.773835,2.6999999999999993,14.8,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T48H,C12,1.76554771149911,85.49095131050291,2610871.8440710306,22435914.368457466,3445225.4999443144,132299558.75388287,834353.6558732986,154735473.12234032,0.002820000000000003,0.0353,0.011664999999999925,0.687335,1,17.3,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T48H,C13,0.6188805091067451,93.7829926308628,3367940.5978167206,123808074.8760711,251572188.99094343,1893011950.274047,254940129.58876014,2016820025.150118,0.001919999999999998,0.04888,0.02483000000000002,0.7135,1.4499999999999993,18.35,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T48H,C14,1.660104352722314,90.06778918351327,5545033.288044289,30229067.334987804,444514.7797693014,273272276.553736,5100518.508274972,303501343.8887238,0.0010850000000000026,0.037794999999999995,0.09599999999999997,0.83533,2.799999999999997,21.1,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T48H,C15,1.732974142128441,89.03173866833401,20176917.89033135,66880018.75762374,69682215.09929633,528681858.6777686,89859132.98962772,595561877.4353923,4.4500000000000095e-4,0.027615,0.033335000000000004,0.726665,1.7999999999999998,6.3999999999999995,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T48H,C2,2.969482674661336,83.06175078462596,4850154.099264517,44452562.2266946,22775512.517164916,221128914.92545396,17925358.417900383,265581477.15214854,1.250000000000001e-4,0.035025,0.00550000000000006,0.6964999999999999,0.75,26.75,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T48H,C3,1.2951626461798327,88.00890401426298,84720.66220423952,32488635.15567097,30239874.880180955,241726398.30700284,30324595.54238516,274215033.46267384,1.1499999999999705e-4,0.033125,0.07383499999999998,0.742835,0.6499999999999986,23.75,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T48H,C4,0.9396353244844988,86.01097957650101,2646666.666666666,15453333.333333334,8905000,94238333.33333334,11551666.666666657,109691666.66666669,1.2000000000000205e-4,0.03735,0.024499999999999966,0.65083,1,23.1,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T48H,C5,0.5484997848314492,95.29883630412397,2119774.948606044,116825657.30154723,337531407.41275024,2407839530.6620502,339651182.36135626,2524665187.9635973,0.0011099999999999999,0.03547,0.08000000000000007,0.76633,0.04999999999999716,24.35,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T48H,C6,5.295938325256589,19.023513005219876,32506.356461822987,342367016.12662613,27777980.25801684,82249874.8951865,27810486.614478588,424616891.0218127,0.001295000000000001,0.030025,0.08850000000000002,0.51783,0.8000000000000007,24.4,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T48H,C7,0.43826893119528165,87.55723778159177,1131877.8943015486,54859036.35896364,7572612.2303311825,386258964.68158996,6440734.336029649,441118001.04055357,8.95e-4,0.028865000000000002,0.027000000000000024,0.78233,1.8000000000000007,11.899999999999999,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T48H,C8,5.527319453030486,74.15323389328765,12920996.956244096,66022911.89564021,17778023.149591863,190455499.0479266,4857026.193347752,256478410.94356683,0.001340000000000001,0.03252,0.014000000000000012,0.68233,4.149999999999999,28.950000000000003,WT,no_Phage,long,WLCt-L1
WLCt,L1,D14,T48H,C9,1.209288942991563,84.10270550788286,8455958.2384969,53428511.4584728,19330361.791701972,280543375.5820354,27786320.03019893,333971887.04050815,4.249999999999983e-4,0.028905,0.008499999999999952,0.67083,0.3999999999999986,17.1,WT,no_Phage,long,WLCt-L1
WLCt,L2,D14,T24H,C1,9.800634468647871,59.77655692395831,95255082.28273141,368400603.1582888,80738250.75480938,543947602.5082632,14516831.527922034,912348205.666552,9.799999999999948e-4,0.03579,0.06916499999999992,0.7918350000000001,3.450000000000003,23.15,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T24H,C10,0.4777522141958741,80.35523258109652,79598254.85327661,484692088.6334375,385868377.2950225,1993911272.737382,465466632.1482992,2478603361.370819,0.0028800000000000006,0.04323,0.027670000000000083,0.8089999999999999,0.3999999999999986,16.3,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T24H,C11,8.70373147647274,78.5840101368644,86528729.97538698,164778934.39075905,22877928.85226333,560176920.4030945,109406658.82765031,724955854.7938535,3.799999999999984e-4,0.03536,0.021665000000000045,0.7626649999999999,3.1500000000000004,14.450000000000001,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T24H,C12,0.44707327637054817,0.8157980881189287,19576745.101789176,430284514.2365246,1794080.5665194998,3458968.506754292,17782664.535269678,433743482.74327886,3.6999999999999533e-4,0.038360000000000005,0.044500000000000095,0.8088299999999999,0.6999999999999993,19.1,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T24H,C13,0.6512777696730012,85.15466698051094,9441111.12303716,278646409.1362821,28226263.054514885,1599174399.1971407,18785151.931478024,1877820808.3334227,0.004120000000000006,0.047369999999999995,0.008000000000000007,0.84833,0.25,15.25,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T24H,C14,8.730596633816887,76.55295316210172,198317.1154975891,174898257.6977911,323240857.16353667,691464267.7398884,323439174.2790344,866362525.4376795,0.001340000000000001,0.048299999999999996,0.009834999999999927,0.761835,1.3499999999999996,15.15,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T24H,C15,9.696773724414818,24.709453766124156,69714358.49940538,1148003359.2183123,175247591.2288996,390352696.33400476,105533232.72949433,1538356055.5523171,3.300000000000039e-4,0.03863,0.0635,0.81083,0.25,18.75,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T24H,C2,4.4005541579228975,81.37107734482674,48349219.189567,178883415.87107247,13708558.417667031,773179341.2181079,34640660.77190006,952062757.0891805,6.499999999999562e-5,0.041785,0.0655,0.77217,1.3000000000000007,15.899999999999999,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T24H,C3,3.466512350709351,83.74466914202036,29208469.38182795,164858226.1573665,67544088.54054582,857496448.8696928,38335619.15871787,1022354675.0270593,8.900000000000019e-4,0.034769999999999995,0.092665,0.773665,0.6999999999999993,20.3,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T24H,C4,9.2388807033085385,71.88567988234728,68948734.03025064,155944939.54763347,1639789.4222165942,375539902.23115927,70588523.4524672,531484841.77879274,0.0018550000000000025,0.039235,0.022170000000000023,0.9165,2.150000000000002,22.549999999999997,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T24H,C5,10.19941878770723,67.12111064188673,53494703.15746713,177674281.05181873,58953080.21700251,364409125.4680042,5458377.059535384,542083406.519823,9.800000000000017e-4,0.03381,0.019499999999999962,0.8745,0.34999999999999964,6.75,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T24H,C6,11.701270650811125,71.21644328019201,88197038.90123942,234427160.51021978,117763124.08177137,592040430.6422698,29566085.18053198,826467591.1524897,0.001014999999999995,0.039775000000000005,0.08033000000000001,0.782,3.6999999999999993,22.3,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T24H,C7,4.77960116547446,77.32963907064092,34866299.75474051,159973202.62584618,29608010.530930877,544567310.1776824,5258289.223809719,704540512.8035285,0.0019900000000000057,0.039349999999999996,0.007164999999999977,0.691165,0.05000000000000071,23.25,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T24H,C8,19.609259316902943,59.708172223463514,155522170.63839042,315265500.5944863,148729936.08693838,463884045.6759795,6792234.551451921,779149546.2704659,0.0020750000000000005,0.041095,0.06683500000000009,0.855165,3.1999999999999993,22.1,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T24H,C9,9.686468455701117,72.7426246899015,203899894.4367305,514011820.33406746,114732767.99211574,1340072326.56597,89167126.44461465,1854084146.9000373,9.499999999999786e-5,0.048735,0.006830000000000003,0.7415,0.40000000000000213,20.799999999999997,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T48H,C1,0.6429642191965996,89.69791941063727,688938.7671817318,40148398.22664119,18392851.135513663,350668074.1965981,17703912.36833191,390816472.42323935,9.799999999999948e-4,0.03579,0.06916499999999992,0.7918350000000001,3.450000000000003,23.15,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T48H,C10,2.642407692096498,90.31778968105453,4202554.909421332,37180327.39020317,155929988.41362733,390528641.65240926,160132543.3230487,427708969.04261243,0.0028800000000000006,0.04323,0.027670000000000083,0.8089999999999999,0.3999999999999986,16.3,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T48H,C11,5.474566920666305,89.89843898627294,15573581.781070203,29270511.89210874,19633333.58404252,262691944.01229975,4059751.8029723167,291962455.90440845,3.799999999999984e-4,0.03536,0.021665000000000045,0.7626649999999999,3.1500000000000004,14.450000000000001,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T48H,C12,0.29435735277453,1.498577032724077,9656869.494822174,137874157.70348784,565294.0281455494,2128130.846425351,10222163.522967726,140002288.5499132,3.6999999999999533e-4,0.038360000000000005,0.044500000000000095,0.8088299999999999,0.6999999999999993,19.1,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T48H,C13,0.4033481346431671,92.43740848189111,13194969.975012645,92728821.25137225,227362495.7930901,1146252617.8796606,240557465.76810288,1238981439.1310327,0.004120000000000006,0.047369999999999995,0.008000000000000007,0.84833,0.25,15.25,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T48H,C14,0.5387763141993247,87.79996524764705,6117235.93434529,37841416.43931474,30397220.2734614,270720697.0312859,36514456.20780671,308562113.4706006,0.001340000000000001,0.048299999999999996,0.009834999999999927,0.761835,1.3499999999999996,15.15,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T48H,C15,2.819732438003747,38.032964867914444,59766459.063322544,572177385.4291182,5220959.045366585,348698280.8596215,54545500.0179559,920875666.2887397,3.300000000000039e-4,0.03863,0.0635,0.81083,0.25,18.75,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T48H,C2,1.5231983608590838,92.08518702270092,9645804.064443715,40236048.48754117,15314774.360442638,463324167.0384232,24960578.424886346,503560215.5259644,6.499999999999562e-5,0.041785,0.0655,0.77217,1.3000000000000007,15.899999999999999,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T48H,C3,2.44731368639394,90.06981579985136,14075916.393192142,37832624.80106334,36872628.81698096,330597136.86707044,50948545.21017313,368429761.66813374,8.900000000000019e-4,0.034769999999999995,0.092665,0.773665,0.6999999999999993,20.3,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T48H,C4,1.8524894696062688,87.28427754979755,8370045.784391269,61249799.576433465,12814329.779816449,421083230.123459,4444283.995425165,482333029.69989246,0.0018550000000000025,0.039235,0.022170000000000023,0.9165,2.150000000000002,22.549999999999997,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T48H,C5,2.592308959454698,87.16344106319792,1646930.2653469294,63067301.377348006,91708649.29411632,446430450.95952135,90061719.02876937,509497752.33686936,9.800000000000017e-4,0.03381,0.019499999999999962,0.8745,0.34999999999999964,6.75,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T48H,C6,0.06506740005733036,92.83477159428512,3497429.4100857377,50476413.64826436,38919976.36725199,653601821.084123,42417405.77733779,704078234.7323873,0.001014999999999995,0.039775000000000005,0.08033000000000001,0.782,3.6999999999999993,22.3,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T48H,C7,0.8498689081937982,93.97737862426922,5563883.444696099,68478669.74679326,75012388.2842226,1078345721.617556,69448504.83952641,1146824391.3643494,0.0019900000000000057,0.039349999999999996,0.007164999999999977,0.691165,0.05000000000000071,23.25,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T48H,C8,24.94456034323288,65.83915102823153,88815050.12495175,136584671.80761692,157297666.10201395,313250047.05439484,68482615.97706217,449834718.8620118,0.0020750000000000005,0.041095,0.06683500000000009,0.855165,3.1999999999999993,22.1,WT,no_Phage,long,WLCt-L2
WLCt,L2,D14,T48H,C9,3.6062559771085745,85.37836210807332,2056964.72841727,55211820.37146188,86241491.08680671,343154834.37251085,84184526.35838944,398366654.7439727,9.499999999999786e-5,0.048735,0.006830000000000003,0.7415,0.40000000000000213,20.799999999999997,WT,no_Phage,long,WLCt-L2
WLCt,L3,D14,T24H,C1,3.743655195651833,50.82409625217043,29548699.426831663,435696981.5244809,36952876.71505213,450863578.9811504,7404177.288220525,886560560.5056312,3.799999999999984e-4,0.03714,0.005164999999999975,0.6568350000000001,0.45000000000000107,10.149999999999999,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T24H,C10,7.840480015503417,75.41378072194694,44104030.334582,143898156.055142,52184789.9174605,443958498.5810298,8080759.58287847,587856654.6361718,3.6499999999999727e-4,0.036095,0.012170000000000014,0.6415,0.45000000000000107,9.45,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T24H,C11,4.321668972060081,71.70850029885653,4464801.284821749,203776464.7647453,100960578.9690938,531238273.80337274,96495777.68427205,735014738.568118,9.699999999999986e-4,0.03299,0.016835000000000044,0.603165,0.4500000000000002,7.55,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T24H,C12,0.49308263577812284,89.9068486808489,4309535.612263814,77866135.09703425,76269411.53925133,697545362.4409031,80578947.15151513,775411497.5379373,6.499999999999562e-5,0.034875,0.002829999999999999,0.5325,2.75,7.35,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T24H,C13,3.3701399636674836,82.59086039727953,26391715.107557476,202771830.46048248,103147565.81737804,976830462.1969037,76755850.70982051,1179602292.6573863,4.1000000000000064e-4,0.03066,0.019499999999999962,0.61417,0.6499999999999995,6.65,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T24H,C14,0.4609308881308749,85.87773485435446,16358040.419666082,155815196.09485674,63547501.43804133,944906855.4084316,79905541.8577075,1100722051.5032883,8.300000000000043e-4,0.03315,0.005164999999999975,0.6081650000000001,0.1999999999999993,9.100000000000001,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T24H,C15,2.8893212811002584,29.520213928917585,13540069.75324148,374472147.0958295,16114536.051604122,156951899.2483463,2574466.2983626127,531424046.3441758,6.200000000000025e-4,0.032659999999999995,0.05532999999999999,0.601,2.3499999999999996,8.25,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T24H,C2,0.8413720685793997,20.555549144692726,42223248.765990555,221932917.70976356,13889761.689356469,58017454.80548889,56113010.455347,279950372.5152525,6.250000000000006e-4,0.037385,0.04632999999999998,0.597,1.5500000000000007,8.649999999999999,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T24H,C3,7.206910108069252,83.96423720667153,79434984.96388525,225580399.6514994,250939158.53967,1258231466.231978,171504173.57578492,1483811865.8834772,0.0016149999999999984,0.035975,0.00733499999999998,0.628665,0.45000000000000107,8.45,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T24H,C4,7.41294479631199,66.05975138703194,12963487.892318338,61813960.178898275,14626173.393956527,120675020.68909462,1662685.5016382039,182488980.86799288,0.0016200000000000034,0.03136,0.037165000000000004,0.572165,0.3000000000000007,8,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T24H,C5,0.5082675247715684,29.68682823885143,13217260.735605627,95093927.4022723,6559098.7868284285,40292432.12016176,19776359.522434056,135386359.52243406,0.0017850000000000019,0.030914999999999998,0.051669999999999994,0.556,0.7999999999999989,14.3,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T24H,C6,3.247600671701832,88.0544040776332,32811224.899248064,141924258.97171968,84996999.24981248,1060351837.95949,52185774.35056448,1202276096.9312096,5.649999999999995e-4,0.030165,0.021834999999999938,0.610835,0.09999999999999964,7.5,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T24H,C7,5.150054636034415,11.571957373250623,33575778.675403714,600175289.3963708,35139941.533586085,78631824.18810049,1564162.8581824303,678807113.5844712,9.99999999999994e-5,0.03072,0.044499999999999984,0.49850000000000005,1.4000000000000004,10.1,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T24H,C8,0.1443153838638267,79.83947542507443,4756082.490811616,96833689.60479707,22274601.941346228,383673146.80795896,27030684.432157815,480506836.412756,0.001015000000000002,0.034605,0.011830000000000007,0.6315,0.75,7.05,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T24H,C9,3.621435190240902,57.4844933142807,36077419.73312122,304455276.18629146,12043098.141144156,409601575.1771693,24034321.59197712,714056851.3634608,0.0011599999999999944,0.0374,0.020669999999999966,0.6890000000000001,0.25,8.35,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T48H,C1,0.20444194440507601,84.34027572777414,3278526.50552541,87685806.38747327,10349607.954874039,472081039.33706784,13628134.46039939,559766845.7245412,3.799999999999984e-4,0.03714,0.005164999999999975,0.6568350000000001,0.45000000000000107,10.149999999999999,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T48H,C10,3.1374226002653245,80.21963708959032,6126366.971983239,101882137.63467869,58159795.86893475,421438119.24647856,52033428.896951556,523320256.8811573,3.6499999999999727e-4,0.036095,0.012170000000000014,0.6415,0.45000000000000107,9.45,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T48H,C11,1.6213925475459092,89.44494589605092,5884903.386291787,63088996.30664578,42818587.18444586,540298116.3553772,36933683.798154,603387112.6620231,9.699999999999986e-4,0.03299,0.016835000000000044,0.603165,0.4500000000000002,7.55,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T48H,C12,1.4880177316390757,79.76255581966404,5616446.368651539,39354270.373934686,7910993.7266815305,154113734.3573568,13527440.09533307,193468004.73129147,6.499999999999562e-5,0.034875,0.002829999999999999,0.5325,2.75,7.35,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T48H,C13,2.40466030227698,84.81967951828389,762041.3889042735,38016424.45208654,36304036.87589449,218045946.58424446,35541995.48699021,256062371.036331,4.1000000000000064e-4,0.03066,0.019499999999999962,0.61417,0.6499999999999995,6.65,WT,no_Phage,long,WLCt-L3
WLCt,L3,D14,T48H,C14,1.749097567556575,83.56219697794276,2229214.9675972015,128194840.54512446,72447252.21346557,659155039.4146993,70218037.24586844,787349879.9598237,8.300000000000043e-4,0.03315,0.005164999999999975,0.6081650000000001,0.1999999999999993,9.100000000000001,WT,no_Phage,long,WLCt-L3
